name,eval,value,result,exec,user_id
GLOBAL_BB_TSC001_IMPEDANCE_1V35,"""value > 0.1""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_FE_3V3,"""value > 10""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_7130_VDD,"""1.0 < value < 1.5""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_EMMC_3V3,"""value > 5""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_3V3_TIVA,"""value > 0.2""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_USB_5V,"""value > 1000""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_1V35,"""1.28 < value < 1.42""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_FE_28V,"""26.6 < value < 29.4""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_7130_VDD,"""value > 0.004""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_2V5,"""2.37 < value < 2.63""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_3V3_TIVA,"""3.13 < value < 3.47""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_FE_28V,"""value > 500""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_3V3,"""value > 0.1""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_5V,"""4.75 < value < 5.25""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_3V3,"""3.13 < value < 3.47""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_USB_5V,"""4.75 < value < 5.25""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_FE_5V,"""4.75 < value < 5.25""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_FE_1V8,"""value > 1""",None,NOT TESTED,,
GLOBAL_UUT_BB_SERIAL_NO,"""value""",NTQ0131530,PASS,BoardTestScan: [CM_PRP001] Validate BB Scan,
GLOBAL_BB_TSC002_VOLTAGE_FE_3V3,"""3.13 < value < 3.47""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_1V5,"""1.42 < value < 1.58""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_5V,"""value > 100""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_1V8,"""1.71 < value < 1.89""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_FE_5V,"""value > 1""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_FE_1V8,"""1.71 < value < 1.89""",None,NOT TESTED,,
GLOBAL_BB_TSC002_VOLTAGE_EMMC_3V3,"""3.13 < value < 3.47""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_2V5,"""value > 10""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_12VIN,"""value > 10""",None,NOT TESTED,,
GLOBAL_UUT_BB_MRP,"""'PRD-865-101B1' in value""",PRD-865-101B1,PASS,BoardTestScan: [CM_PRP001] Validate BB Scan,
GLOBAL_BB_TSC002_VOLTAGE_12VIN,"""11.4 < value < 12.6""",None,NOT TESTED,,
GLOBAL_BB_TSC001_IMPEDANCE_1V5,"""value > 1""",None,NOT TESTED,,
GLOBAL_UUT_BB_MAC,"""value""",00-D0-CC-20-14-2E,PASS,BoardTestScan: [CM_PRP001] Validate BB Scan,
GLOBAL_BB_TSC001_IMPEDANCE_1V8,"""value > 1""",None,NOT TESTED,,
