name,eval,value,result,exec,user_id
GLOBAL_FE_TSC003_IMPEDANCE_VGS_TX2_1B,"""value > 0.7""",None,NOT TESTED,,
GLOBAL_FE_TSC003_IMPEDANCE_VGS_TX2_1A,"""value > 0.7""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_28V_PA1_SW,"""value > 100""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_28V,"""26.6 < value < 29.4""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_28V_PA1,"""value > 100""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_28V_PA2,"""value > 100""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_1V8,"""value > 3""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_5V,"""4.75 < value < 5.25""",None,NOT TESTED,,
GLOBAL_FE_TSC003_IMPEDANCE_VGS_TX1_2B,"""value > 0.7""",None,NOT TESTED,,
GLOBAL_FE_TSC003_IMPEDANCE_VGS_TX1_2A,"""value > 0.7""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_5V,"""value > 0.3""",None,NOT TESTED,,
GLOBAL_FE_TSC003_IMPEDANCE_VGS_TX2_2B,"""value > 0.7""",None,NOT TESTED,,
GLOBAL_FE_TSC003_IMPEDANCE_VGS_TX2_2A,"""value > 0.7""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_28V,"""value > 100""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_28V_PA0_SW,"""26.6 < value < 29.4""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_28V_PA2,"""26.6 < value < 29.4""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_28V_PA1,"""26.6 < value < 29.4""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_3V3_TIVA,"""3.13 < value < 3.47""",None,NOT TESTED,,
GLOBAL_UUT_FE_MRP,"""'PRD-864-101A1' in value""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_3V3,"""3.13 < value < 3.47""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_28V_PA1_SW,"""26.6 < value < 29.4""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_3V3,"""value > 0.9""",None,NOT TESTED,,
GLOBAL_UUT_FE_SERIAL_NO,"""value""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_28V_PA0_SW,"""value > 100""",None,NOT TESTED,,
GLOBAL_UUT_FE_MAC,"""value""",None,NOT TESTED,,
GLOBAL_FE_TSC002_VOLTAGE_1V8,"""1.71 < value < 1.89""",None,NOT TESTED,,
GLOBAL_FE_TSC003_IMPEDANCE_VGS_TX1_1B,"""value > 0.7""",None,NOT TESTED,,
GLOBAL_FE_TSC003_IMPEDANCE_VGS_TX1_1A,"""value > 0.7""",None,NOT TESTED,,
GLOBAL_FE_TSC001_IMPEDANCE_3V3_TIVA,"""value > 0.3""",None,NOT TESTED,,
