Unique_ID,Request_type,Start_time,Longitude,Latitude,Antenna_Height,AGL_ASL,Longitude_uncertainty,Latitude_uncertainty,Emission_class,Device_category,Device_type,PREFSENS,MaxP0_Master
501,Specific,01/01/2013 00:01,-2.71775,51.24786,1,AGL,0,0,1,Master,A,,
502,Specific,01/01/2013 00:01,-2.724846,51.69741,1,AGL,0,0,1,Master,A,,
503,Specific,01/01/2013 00:01,-2.73212,52.14692,1,AGL,0,0,1,Master,A,,
504,Specific,01/01/2013 00:01,-2.73959,52.59639,1,AGL,0,0,1,Master,A,,
505,Specific,01/01/2013 00:01,-2.74726,53.04583,1,AGL,0,0,1,Master,A,,
506,Specific,01/01/2013 00:01,-2.75514,53.49522,1,AGL,0,0,1,Master,A,,
507,Specific,01/01/2013 00:01,-2.76323,53.94459,1,AGL,0,0,1,Master,A,,
508,Specific,01/01/2013 00:01,-2.771564,54.393916,1,AGL,0,0,1,Master,A,,
509,Specific,01/01/2013 00:01,-2.00137,51.25006,1,AGL,0,0,1,Master,A,,
510,Specific,01/01/2013 00:01,-2.00139,51.69964,1,AGL,0,0,1,Master,A,,
511,Specific,01/01/2013 00:01,-2.0014,52.14919,1,AGL,0,0,1,Master,A,,
512,Specific,01/01/2013 00:01,-2.00142,52.5987,1,AGL,0,0,1,Master,A,,
513,Specific,01/01/2013 00:01,-2.001448,53.04818,1,AGL,0,0,1,Master,A,,
514,Specific,01/01/2013 00:01,-2.00146,53.49761,1,AGL,0,0,1,Master,A,,
515,Specific,01/01/2013 00:01,-2.00149,53.94701,1,AGL,0,0,3,Master,B,,
516,Specific,01/01/2013 00:01,-1.285,51.24788,1,AGL,0,0,3,Master,B,,
517,Specific,01/01/2013 00:01,-1.27794,51.69743,1,AGL,0,0,3,Master,B,,
518,Specific,01/01/2013 00:01,-1.27069,52.14694,1,AGL,0,0,3,Master,B,,
519,Specific,01/01/2013 00:01,-1.263263,52.59642,1,AGL,0,0,3,Master,B,,
520,Specific,01/01/2013 00:01,-1.25563,53.04585,1,AGL,0,0,3,Master,B,,
521,Specific,01/01/2013 00:01,-1.24779,53.49525,3,AGL,0,0,3,Master,A,,
522,Specific,01/01/2013 00:01,-1.23973,53.94461,3,AGL,0,0,3,Master,A,,
523,Specific,01/01/2013 00:01,-0.568809,51.24132,3,AGL,0,0,3,Master,A,,
524,Specific,01/01/2013 00:01,-0.55467,51.69076,3,AGL,0,0,1,Master,A,,
525,Specific,01/01/2013 00:01,-0.54018,52.14016,3,AGL,0,0,1,Master,A,,
526,Specific,01/01/2013 00:01,-0.5253,52.58953,3,AGL,0,0,1,Master,A,,
527,Specific,01/01/2013 00:01,-0.51002,53.03885,3,AGL,0,0,1,Master,A,,
528,Specific,01/01/2013 00:01,-0.49433,53.48814,3,AGL,0,0,1,Master,A,,
529,Specific,01/01/2013 00:01,-0.4782,53.93738,3,AGL,0,0,1,Master,A,,
