Unique_ID,Request_type,Start_time,Longitude,Latitude,Antenna_Height,AGL_ASL,Longitude_uncertainty,Latitude_uncertainty,Emission_class,Device_category,Device_type,PREFSENS,MaxMasterEIRP
572,Generic,01/01/2013 03:15,-0.095241,51.508235,1,AGL,40,30,1,Master,A,,
573,Generic,01/01/2013 05:15,-0.095241,51.508235,1,AGL,70,80,1,Master,A,,
574,Specific,01/01/2013 03:15,-0.095241,51.508235,1,AGL,40,30,1,Master,A,,
575,Specific,01/01/2013 05:15,-0.095241,51.508235,1,AGL,70,80,1,Master,A,,
576,Generic,01/01/2013 01:15,-0.09451,51.527117,1,AGL,0,0,1,Master,A,,
577,Generic,01/01/2013 01:15,-0.09451,51.527117,1,AGL,0,0,1,Master,A,,-19
578,Generic,01/01/2013 01:15,-0.09451,51.527117,1,AGL,0,0,1,Master,A,,-16
579,Generic,01/01/2013 01:15,-0.09451,51.527117,1,AGL,0,0,1,Master,A,,-9
580,Generic,01/01/2013 01:15,-0.09451,51.527117,1,AGL,0,0,1,Master,A,,1
581,Generic,01/01/2013 01:15,-0.09451,51.527117,1,AGL,0,0,1,Master,A,,11
582,Generic,01/01/2013 01:15,-0.09451,51.527117,1,AGL,0,0,1,Master,A,,17
583,Specific,01/01/2013 01:15,-0.09451,51.527117,1,AGL,0,0,1,Master,A,,
584,Generic,01/01/2013 01:15,-0.09098,51.612108,1,AGL,0,0,1,Master,A,,
585,Generic,01/01/2013 01:15,-0.09098,51.612108,1,AGL,0,0,1,Master,A,,12
586,Generic,01/01/2013 01:15,-0.09098,51.612108,1,AGL,0,0,1,Master,A,,13
587,Generic,01/01/2013 01:15,-0.09098,51.612108,1,AGL,0,0,1,Master,A,,14
588,Generic,01/01/2013 01:15,-0.09098,51.612108,1,AGL,0,0,1,Master,A,,15
589,Generic,01/01/2013 01:15,-0.09098,51.612108,1,AGL,0,0,1,Master,A,,16
590,Generic,01/01/2013 01:15,-0.09098,51.612108,1,AGL,0,0,1,Master,A,,17
591,Specific,01/01/2013 01:15,-0.09098,51.612108,1,AGL,0,0,1,Master,A,,
592,Generic,01/01/2013 01:15,-0.095073,51.513637,1,AGL,0,0,1,Master,A,,
593,Generic,01/01/2013 01:15,-0.095073,51.513637,1,AGL,0,0,1,Master,A,,-19
594,Generic,01/01/2013 01:15,-0.095073,51.513637,1,AGL,0,0,1,Master,A,,-16
595,Generic,01/01/2013 01:15,-0.095073,51.513637,1,AGL,0,0,1,Master,A,,-9
596,Generic,01/01/2013 01:15,-0.095073,51.513637,1,AGL,0,0,1,Master,A,,1
597,Generic,01/01/2013 01:15,-0.095073,51.513637,1,AGL,0,0,1,Master,A,,11
598,Generic,01/01/2013 01:15,-0.095073,51.513637,1,AGL,0,0,1,Master,A,,17
599,Specific,01/01/2013 01:15,-0.095073,51.513637,1,AGL,0,0,1,Master,A,,
600,Generic,01/01/2013 01:15,-0.095258,51.50915,1,AGL,0,0,1,Master,A,,
601,Generic,01/01/2013 01:15,-0.095258,51.50915,1,AGL,0,0,1,Master,A,,-19
602,Generic,01/01/2013 01:15,-0.095258,51.50915,1,AGL,0,0,1,Master,A,,-16
603,Generic,01/01/2013 01:15,-0.095258,51.50915,1,AGL,0,0,1,Master,A,,-9
604,Generic,01/01/2013 01:15,-0.095258,51.50915,1,AGL,0,0,1,Master,A,,1
605,Generic,01/01/2013 01:15,-0.095258,51.50915,1,AGL,0,0,1,Master,A,,11
606,Generic,01/01/2013 01:15,-0.095258,51.50915,1,AGL,0,0,1,Master,A,,17
607,Specific,01/01/2013 01:15,-0.095258,51.50915,1,AGL,0,0,1,Master,A,,
608,Generic,01/01/2013 01:15,-0.090904,51.613905,1,AGL,0,0,1,Master,A,,
609,Generic,01/01/2013 01:15,-0.090904,51.613905,1,AGL,0,0,1,Master,A,,12
610,Generic,01/01/2013 01:15,-0.090904,51.613905,1,AGL,0,0,1,Master,A,,13
611,Generic,01/01/2013 01:15,-0.090904,51.613905,1,AGL,0,0,1,Master,A,,14
612,Generic,01/01/2013 01:15,-0.090904,51.613905,1,AGL,0,0,1,Master,A,,15
613,Generic,01/01/2013 01:15,-0.090904,51.613905,1,AGL,0,0,1,Master,A,,16
614,Generic,01/01/2013 01:15,-0.090904,51.613905,1,AGL,0,0,1,Master,A,,17
615,Specific,01/01/2013 01:15,-0.090904,51.613905,1,AGL,0,0,1,Master,A,,
616,Generic,01/01/2013 01:15,-0.090942,51.613006,1,AGL,0,0,1,Master,A,,
617,Generic,01/01/2013 01:15,-0.090942,51.613006,1,AGL,0,0,1,Master,A,,12
618,Generic,01/01/2013 01:15,-0.090942,51.613006,1,AGL,0,0,1,Master,A,,13
619,Generic,01/01/2013 01:15,-0.090942,51.613006,1,AGL,0,0,1,Master,A,,14
620,Generic,01/01/2013 01:15,-0.090942,51.613006,1,AGL,0,0,1,Master,A,,15
621,Generic,01/01/2013 01:15,-0.090942,51.613006,1,AGL,0,0,1,Master,A,,16
622,Generic,01/01/2013 01:15,-0.090942,51.613006,1,AGL,0,0,1,Master,A,,17
623,Specific,01/01/2013 01:15,-0.090942,51.613006,1,AGL,0,0,1,Master,A,,
