Assignment_ID,EquipmentType_ID,X_Coord,Y_Coord,Antenna_Height_metres,Frequency_MHz,Bandwidth_MHz,Start,Finish,Situation_ID
50077,4,532280.01,180630.01,10,474,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50078,4,532280.01,180630.01,10,482,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50079,4,532280.01,180630.01,10,490,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50080,4,532280.01,180630.01,10,498,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50081,4,532280.01,180630.01,10,506,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50082,4,532280.01,180630.01,10,514,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50083,4,532280.01,180630.01,10,522,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50084,4,532280.01,180630.01,10,530,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50085,4,532280.01,180630.01,10,538,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50086,4,532280.01,180630.01,10,546,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50087,4,532280.01,180630.01,10,554,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50088,4,532280.01,180630.01,10,562,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50089,4,532280.01,180630.01,10,570,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50090,4,532280.01,180630.01,10,578,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50091,4,532280.01,180630.01,10,586,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50092,4,532280.01,180630.01,10,594,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50093,4,532280.01,180630.01,10,602,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50094,4,532280.01,180630.01,10,610,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50095,4,532280.01,180630.01,10,618,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50096,4,532280.01,180630.01,10,626,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50097,4,532280.01,180630.01,10,634,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50098,4,532280.01,180630.01,10,642,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50099,4,532280.01,180630.01,10,650,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50100,4,532280.01,180630.01,10,658,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50101,4,532280.01,180630.01,10,666,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50102,4,532280.01,180630.01,10,674,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50103,4,532280.01,180630.01,10,682,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50104,4,532280.01,180630.01,10,690,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50105,4,532280.01,180630.01,10,698,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50106,4,532280.01,180630.01,10,706,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50107,4,532280.01,180630.01,10,714,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50108,4,532280.01,180630.01,10,722,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50109,4,532280.01,180630.01,10,730,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50110,4,532280.01,180630.01,10,738,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50111,4,532280.01,180630.01,10,746,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50112,4,532280.01,180630.01,10,754,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50113,4,532280.01,180630.01,10,762,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50114,4,532280.01,180630.01,10,770,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50115,4,532280.01,180630.01,10,778,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50116,4,532280.01,180630.01,10,786,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
