Unique_ID,Request_type,Start_time,Longitude,Latitude,Antenna_Height,AGL_ASL,Longitude_uncertainty,Latitude_uncertainty,Emission_class,Device_category,Device_type,PREFSENS,MaxP0_Master
1501,Specific,01/01/2013 00:01,-0.095241,51.508235,10,AGL,0,0,5,Master,A,,
1502,Specific,02/01/2013 00:01,-0.096681,51.508258,10,AGL,0,0,5,Master,A,,
1503,Specific,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,
1504,Specific,04/01/2013 00:01,-0.09092,51.508164,10,AGL,300,300,5,Master,A,,
1505,Specific,05/01/2013 00:01,-0.09092,51.508164,10,AGL,400,400,5,Master,A,,
1506,Generic,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,
1507,Generic,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,17
1508,Generic,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,11
1509,Generic,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,1
1510,Generic,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,-9
1511,Generic,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,-16
1512,Generic,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,-19
1513,Generic,03/01/2013 00:01,-0.09092,51.508164,10,AGL,0,0,5,Master,A,,-24
1514,Specific,03/01/2013 00:01,-1.254229,51.753436,10,AGL,0,0,5,Master,A,,
1515,Specific,03/01/2013 00:01,-1.254229,51.753436,10,AGL,50,50,5,Master,A,,
1516,Specific,03/01/2013 00:01,-1.254214,51.754335,10,AGL,0,0,5,Master,A,,
1517,Specific,03/01/2013 00:01,-1.254214,51.754335,10,AGL,200,200,5,Master,A,,
1518,Generic,03/01/2013 00:01,-1.254214,51.754335,10,AGL,0,0,5,Master,A,,17
1519,Generic,03/01/2013 00:01,-1.254214,51.754335,10,AGL,0,0,5,Master,A,,11
1520,Generic,03/01/2013 00:01,-1.254214,51.754335,10,AGL,0,0,5,Master,A,,1
1521,Generic,03/01/2013 00:01,-1.254214,51.754335,10,AGL,0,0,5,Master,A,,-9
1522,Generic,03/01/2013 00:01,-1.254214,51.754335,10,AGL,0,0,5,Master,A,,-16
1523,Generic,03/01/2013 00:01,-1.254214,51.754335,10,AGL,0,0,5,Master,A,,-19
1524,Generic,03/01/2013 00:01,-1.254214,51.754335,10,AGL,0,0,5,Master,A,,-24
