Assignment_ID,EquipmentType_ID,X_Coord,Y_Coord,Antenna_Height_metres,Frequency_MHz,Bandwidth_MHz,Start,Finish,Situation_ID
50037,4,532280,180630,10,474,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50038,4,532280,180630,10,482,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50039,4,532280,180630,10,490,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50040,4,532280,180630,10,498,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50041,4,532280,180630,10,506,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50042,4,532280,180630,10,514,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50043,4,532280,180630,10,522,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50044,4,532280,180630,10,530,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50045,4,532280,180630,10,538,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50046,4,532280,180630,10,546,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50047,4,532280,180630,10,554,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50048,4,532280,180630,10,562,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50049,4,532280,180630,10,570,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50050,4,532280,180630,10,578,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50051,4,532280,180630,10,586,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50052,4,532280,180630,10,594,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50053,4,532280,180630,10,602,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50054,4,532280,180630,10,610,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50055,4,532280,180630,10,618,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50056,4,532280,180630,10,626,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50057,4,532280,180630,10,634,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50058,4,532280,180630,10,642,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50059,4,532280,180630,10,650,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50060,4,532280,180630,10,658,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50061,4,532280,180630,10,666,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50062,4,532280,180630,10,674,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50063,4,532280,180630,10,682,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50064,4,532280,180630,10,690,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50065,4,532280,180630,10,698,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50066,4,532280,180630,10,706,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50067,4,532280,180630,10,714,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50068,4,532280,180630,10,722,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50069,4,532280,180630,10,730,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50070,4,532280,180630,10,738,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50071,4,532280,180630,10,746,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50072,4,532280,180630,10,754,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50073,4,532280,180630,10,762,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50074,4,532280,180630,10,770,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50075,4,532280,180630,10,778,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50076,4,532280,180630,10,786,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
