Unique_ID,Request_type,Start_time,Longitude,Latitude,Antenna_Height,AGL_ASL,Longitude_uncertainty,Latitude_uncertainty,Emission_class,Device_category,Device_type,PREFSENS,MaxMasterEIRP
3080,Specific,01/01/2014 00:01,-0.128408,51.511397,10,AGL,0,0,5,Master,A,,
3081,Specific,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,A,,
3082,Specific,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,
3083,Generic,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,
3084,Generic,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,17
3085,Generic,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,11
3086,Generic,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,1
3087,Generic,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,-9
3088,Generic,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,-16
3089,Generic,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,-19
3090,Generic,01/01/2014 00:01,-0.128408,51.511397,5,AGL,0,0,5,Master,A,,-40
3091,Specific,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,
3092,Generic,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,
3093,Generic,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,17
3094,Generic,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,11
3095,Generic,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,1
3096,Generic,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,-9
3097,Generic,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,-16
3098,Generic,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,-19
3099,Generic,01/01/2014 00:01,-0.128408,51.511397,1.5,AGL,0,0,5,Master,B,,-40
3100,Specific,01/01/2014 00:01,-0.138335,51.50595,1.5,AGL,0,0,5,Master,B,,
3101,Generic,01/01/2014 00:01,-0.138335,51.50595,1.5,AGL,0,0,5,Master,B,,4
3102,Specific,01/01/2014 00:01,-0.138262,51.507747,10,AGL,0,0,5,Master,A,,
3103,Generic,01/01/2014 00:01,-0.138262,51.507747,10,AGL,0,0,5,Master,A,,
3104,Specific,01/01/2014 00:01,-0.138189,51.509545,10,AGL,0,0,5,Master,A,,
3105,Generic,01/01/2014 00:01,-0.138189,51.509545,10,AGL,0,0,5,Master,A,,4
3106,Specific,01/01/2014 00:01,-0.138116,51.511342,5,AGL,0,0,5,Master,A,,
3107,Generic,01/01/2014 00:01,-0.138116,51.511342,5,AGL,0,0,5,Master,A,,
3108,Specific,01/01/2014 00:01,-0.138042,51.51314,5,AGL,0,0,5,Master,A,,
3109,Generic,01/01/2014 00:01,-0.138042,51.51314,5,AGL,0,0,5,Master,A,,
3110,Specific,01/01/2014 00:01,-0.137969,51.514937,10,AGL,100,100,5,Master,B,,
3112,Specific,01/01/2014 00:01,-0.137896,51.516734,10,AGL,100,100,5,Master,B,,
3114,Specific,01/01/2014 00:01,-0.135455,51.505904,10,AGL,0,0,1,Master,A,,
3115,Generic,01/01/2014 00:01,-0.135455,51.505904,10,AGL,0,0,1,Master,A,,
3116,Specific,01/01/2014 00:01,-0.135382,51.507702,1.5,AGL,0,0,5,Master,B,,
3117,Generic,01/01/2014 00:01,-0.135382,51.507702,1.5,AGL,0,0,5,Master,B,,4
3118,Specific,01/01/2014 00:01,-0.135308,51.509499,10,AGL,0,0,5,Master,A,,
3119,Generic,01/01/2014 00:01,-0.135308,51.509499,10,AGL,0,0,5,Master,A,,
3120,Specific,01/01/2014 00:01,-0.135235,51.511296,10,AGL,0,0,5,Master,A,,
3121,Generic,01/01/2014 00:01,-0.135235,51.511296,10,AGL,0,0,5,Master,A,,4
3122,Specific,01/01/2014 00:01,-0.135162,51.513094,5,AGL,0,0,5,Master,A,,
3123,Generic,01/01/2014 00:01,-0.135162,51.513094,5,AGL,0,0,5,Master,A,,
3124,Specific,01/01/2014 00:01,-0.135088,51.514891,5,AGL,100,100,5,Master,A,,
3125,Generic,01/01/2014 00:01,-0.135088,51.514891,5,AGL,100,100,5,Master,A,,
3126,Specific,01/01/2014 00:01,-0.135015,51.516688,10,AGL,100,100,5,Master,B,,
3128,Specific,01/01/2014 00:01,-0.132575,51.505858,10,AGL,0,0,5,Master,B,,
3130,Specific,01/01/2014 00:01,-0.132502,51.507656,10,AGL,0,0,1,Master,A,,
3131,Generic,01/01/2014 00:01,-0.132502,51.507656,10,AGL,0,0,1,Master,A,,
3132,Specific,01/01/2014 00:01,-0.132428,51.509453,1.5,AGL,0,0,5,Master,B,,
3133,Generic,01/01/2014 00:01,-0.132428,51.509453,1.5,AGL,0,0,5,Master,B,,4
3134,Specific,01/01/2014 00:01,-0.132355,51.511251,10,AGL,0,0,5,Master,A,,
3135,Generic,01/01/2014 00:01,-0.132355,51.511251,10,AGL,0,0,5,Master,A,,
3136,Specific,01/01/2014 00:01,-0.132281,51.513048,10,AGL,0,0,5,Master,A,,
3137,Generic,01/01/2014 00:01,-0.132281,51.513048,10,AGL,0,0,5,Master,A,,4
3138,Specific,01/01/2014 00:01,-0.132207,51.514845,5,AGL,0,0,5,Master,A,,
3139,Generic,01/01/2014 00:01,-0.132207,51.514845,5,AGL,0,0,5,Master,A,,
3140,Specific,01/01/2014 00:01,-0.132134,51.516643,5,AGL,0,0,5,Master,A,,
3141,Generic,01/01/2014 00:01,-0.132134,51.516643,5,AGL,0,0,5,Master,A,,
3142,Specific,01/01/2014 00:01,-0.129695,51.505813,10,AGL,100,100,5,Master,B,,
3144,Specific,01/01/2014 00:01,-0.129621,51.50761,10,AGL,0,0,5,Master,B,,
3146,Specific,01/01/2014 00:01,-0.129548,51.509407,10,AGL,0,0,1,Master,A,,
3147,Generic,01/01/2014 00:01,-0.129548,51.509407,10,AGL,0,0,1,Master,A,,
3148,Specific,01/01/2014 00:01,-0.129474,51.511205,1.5,AGL,100,100,5,Master,B,,
3149,Generic,01/01/2014 00:01,-0.129474,51.511205,1.5,AGL,100,100,5,Master,B,,4
3150,Specific,01/01/2014 00:01,-0.1294,51.513002,10,AGL,0,0,5,Master,A,,
3151,Generic,01/01/2014 00:01,-0.1294,51.513002,10,AGL,0,0,5,Master,A,,
3152,Specific,01/01/2014 00:01,-0.129327,51.514799,10,AGL,0,0,5,Master,A,,
3153,Generic,01/01/2014 00:01,-0.129327,51.514799,10,AGL,0,0,5,Master,A,,4
3154,Specific,01/01/2014 00:01,-0.129253,51.516597,5,AGL,0,0,5,Master,A,,
