20190921:16:37:16 close_write: measures.db
20190921:16:38:12 close_write: measures_for_today.db
20190921:16:39:32 close_write: measures_II.db
20190921:17:03:26 close_write: measures_moved.db
20190921:17:03:26 close_write: measures_moved.db
20190921:17:32:47 close_write: measuresTEST.db
20190921:17:32:47 close_write: measuresTEST.db
20190921:17:36:28 close_write: measuresTESTaGAIN.db
20190921:17:36:28 close_write: measuresTESTaGAIN.db
20190921:17:38:13 close_write: measuresTEST.db
20190921:17:38:13 close_write: measuresTEST.db
20190921:17:38:13 close_write: measuresTEST.db
20190921:17:38:56 close_write: measuresTest.db
20190921:17:38:56 close_write: measuresTest.db
20190921:17:38:56 close_write: measuresTest.db
20190921:17:38:56 close_write: measuresTest.db
20190921:17:39:18 close_write: measuresTest2.db
20190921:17:39:18 close_write: measuresTest2.db
20190921:17:39:18 close_write: measuresTest2.db
20190921:17:39:18 close_write: measuresTest2.db
20190921:17:39:18 close_write: measuresTest2.db
20190921:17:41:04 close_write: measuresTest.db
20190921:17:43:24 close_write: measuresTestII.db
20190921:17:55:24 close_write: measuresuPLOAD.db
20190921:17:55:24 close_write: measuresuPLOAD.db
20190921:17:57:59 close_write: measuresuPLOAD.db
20190921:17:58:00 close_write: measuresuPLOAD.db
20190921:17:59:30 close_write: measuresuSecondUpload.db
20190921:17:59:30 close_write: measuresuSecondUpload.db
20190921:18:02:24 close_write: measuresuThirdUpload.db
20190921:18:02:24 close_write: measuresuThirdUpload.db
20190921:18:03:18 close_write: measuresuThirdUpload_iR3uEBs.db
20190921:18:03:18 close_write: measuresuThirdUpload_iR3uEBs.db
20190921:18:12:28 close_write: measures_4kMo9lm.db
20190921:18:12:28 close_write: measures_4kMo9lm.db
20190921:18:18:38 close_write: measures_qiYKzYX.db
20190921:18:18:38 close_write: measures_qiYKzYX.db
20190921:18:21:19 close_write: measures_v8FrgtP.db
20190921:18:21:19 close_write: measures_v8FrgtP.db
20190921:18:29:47 close_write: measures_E8FH1IL.db
20190921:18:29:47 close_write: measures_E8FH1IL.db
20190921:18:31:16 close_write: measuresuThirdUpload.db
20190921:18:31:16 close_write: measuresuThirdUpload.db
20190921:18:32:54 close_write: measuresuThirdUpload_yoGNRmd.db
20190921:18:32:54 close_write: measuresuThirdUpload_yoGNRmd.db
20190921:18:37:33 close_write: measuresuThirdUpload_r4mS99a.db
20190921:18:37:33 close_write: measuresuThirdUpload_r4mS99a.db
